STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :Превосходный
STR_ORDER_CONDITIONAL_CARGO_ACCEPTANCE                          :Перейти к заданию {COMMA} когда {STRING} {STRING} {STRING}
STR_ORDER_CONDITIONAL_CARGO_WAITING_DISPLAY                     :Перейти к заданию {COMMA} когда {STRING} {STRING} {STRING}
STR_ORDER_CONDITIONAL_SLOT                                      :Перейти к заданию {COMMA} когда {TRSLOT} {STRING}
STR_ORDER_CONDITIONAL_INVALID_SLOT                              :Перейти к заданию {COMMA} когда {PUSH_COLOUR}{RED}{STRING} {POP_COLOUR}{STRING}
STR_ORDER_CONDITIONAL_IN_SLOT                                   :Перейти к заданию {COMMA} когда {STRING} слот: {TRSLOT}
STR_ORDER_CONDITIONAL_IN_INVALID_SLOT                           :Перейти к заданию {COMMA} когда {STRING} {PUSH_COLOUR}{RED}{STRING} {POP_COLOUR}
STR_ORDER_CONDITIONAL_LOAD_PERCENTAGE_DISPLAY                   :Перейти к заданию {COMMA} когда Процент загрузки {STRING} {STRING} {COMMA}
STR_ORDER_CONDITIONAL_CARGO_WAITING_AMOUNT_DISPLAY              :Перейти к заданию {COMMA} когда {STRING} на {STRING} {STRING} {CARGO_SHORT}
STR_ORDER_CONDITIONAL_CARGO_WAITING_AMOUNT_VIA_DISPLAY          :Перейти к заданию {COMMA} когда {STRING} на {STRING} через {STRING} {STRING} {CARGO_SHORT}
STR_ORDER_CONDITIONAL_COUNTER                                   :Перейти к заданию {COMMA} когда значение {TRCOUNTER} {STRING} {COMMA}
STR_ORDER_CONDITIONAL_INVALID_COUNTER                           :Перейти к заданию {COMMA} когда значение {PUSH_COLOUR}{RED}{STRING}{POP_COLOUR} {STRING} {COMMA}
STR_ORDER_CONDITIONAL_TIME_HHMM                                 :Перейти к заданию {COMMA} когда {STRING} {STRING} {TIME_HHMM}
STR_ORDER_CONDITIONAL_TIMETABLE                                 :Перейти к заданию {COMMA} когда {STRING} {STRING} {TT_TICKS}
STR_ORDER_CONDITIONAL_DISPATCH_SLOT_DISPLAY                     :Перейти к заданию {COMMA} когда {STRING} {STRING} {STRING}

STR_ORDER_TRY_ACQUIRE_SLOT                                      :Попытаться приобрести слот: {STRING}
STR_ORDER_RELEASE_SLOT                                          :Освободить слот: {STRING}

STR_TIMETABLE_MINUTES                                           :{COMMA}{NBSP}минут{P а ы ""}
STR_TIMETABLE_HOURS                                             :{COMMA}{NBSP}час{P "" а ов}
STR_TIMETABLE_HOURS_MINUTES                                     :{COMMA}{NBSP}час{P "" а ов} и {COMMA}{NBSP}минут{P а ы ""}
STR_TIMETABLE_MINUTES_SUFFIX                                    : ({STRING})

STR_TIMETABLE_LEFTOVER_TICKS                                    : + {COMMA} тик{P "" а ов}

STR_TIMETABLE_AUTOMATE                                          :{BLACK}Автоматически
STR_TIMETABLE_AUTOMATE_TOOLTIP                                  :{BLACK}Управляйте расписанием автоматически, обновляя значения для каждой поездки

STR_TIMETABLE_AUTO_SEPARATION                                   :{BLACK}Авторазделение
STR_TIMETABLE_AUTO_SEPARATION_TOOLTIP                           :{BLACK}Автоматически регулируйте время начала расписания для обеспечения разделения транспортных средств

STR_TIMETABLE_SCHEDULED_DISPATCH                                :{BLACK}Плановая отправка
STR_TIMETABLE_SCHEDULED_DISPATCH_TOOLTIP                        :{BLACK}Открыть окна отправки по расписанию для автоматической установки времени начала расписания
STR_TIMETABLE_SCHEDULED_DISPATCH_ORDER                          :{PUSH_COLOUR}{YELLOW}[{STRING}плановая отправка]{POP_COLOUR}
STR_TIMETABLE_SCHEDULED_DISPATCH_ORDER_NO_WAIT_TIME             :{PUSH_COLOUR}{RED}[{STRING}отправка по расписанию - без времени ожидания]{POP_COLOUR}
STR_TIMETABLE_SCHEDULED_DISPATCH_ORDER_SCHEDULE_INDEX           :{NUM}{NBSP}-{NBSP}
STR_TIMETABLE_SCHEDULED_DISPATCH_ORDER_NAMED_SCHEDULE           :{STRING}{NBSP}-{NBSP}

STR_TIMETABLE_LOCK_ORDER_TIME_TOOLTIP                           :{BLACK}Заблокировать/разблокировать количество времени для выделенного задания (Ctrl+клик - установить состояние блокировки для всех заданий).{}Если время заблокировано, оно не может быть изменено автозаполнением расписания or автоматически.

STR_TIMETABLE_LEAVE_EARLY_ORDER                                 :[уходить раньше]
STR_TIMETABLE_LEAVE_EARLY_ORDER_FULL_ANY                        :[уходить раньше, если груз заполнен]
STR_TIMETABLE_LEAVE_EARLY_ORDER_FULL_ALL                        :[уходить раньше, если все грузы заполнены]
STR_TIMETABLE_LEAVE_NORMAL                                      :Уходить по расписанию
STR_TIMETABLE_LEAVE_EARLY                                       :Уходить раньше
STR_TIMETABLE_LEAVE_EARLY_FULL_ANY                              :Уходить раньше если заполнено что угодно
STR_TIMETABLE_LEAVE_EARLY_FULL_ALL                              :Уходить раньше если заполено всё

STR_TIMETABLE_EXTRA_DROP_DOWN                                   :{BLACK}Дополнительно
STR_TIMETABLE_EXTRA_DROP_DOWN_TOOLTIP                           :{BLACK}Дополнительные опции{}{}Уходить по расписанию: Транспортные средства дожидаются назначенного времени отправления, прежде чем выехать (по умолчанию).{}Уходить раньше: Транспортные средства отправляются сразу же после окончания загрузки/разгрузки, возможно, до назначенного времени отправления.{}Уходить раньше если заполнено что угодно: Так же, как и в предыдущем случае, но если любой груз полностью загружен.{}Уходить раньше если заполено всё: Так же, как и в предыдущем случае, но если все грузы полностью загружены.

STR_TIMETABLE_ASSIGN_SCHEDULE_DROP_DOWN                         :{BLACK}Назначить расписание
STR_TIMETABLE_ASSIGN_SCHEDULE_DROP_DOWN_TOOLTIP                 :{BLACK}Назначить или отменить назначение расписания отправки для выбранного задания
STR_TIMETABLE_ASSIGN_SCHEDULE_NONE                              :Нет расписания
STR_TIMETABLE_ASSIGN_SCHEDULE_ID                                :Расписание {NUM}

STR_TIMETABLE_AUTOSEP_TIMETABLE_INCOMPLETE                      :{BLACK}Данное расписание не разделяется автоматически, потому что оно неполное
STR_TIMETABLE_AUTOSEP_OK                                        :{BLACK}Это расписание автоматически разделяется
STR_TIMETABLE_AUTOSEP_SINGLE_VEH                                :{BLACK}Это расписание не является автораздельным, потому что в нём только 1 транспортное средство
STR_TIMETABLE_WARNING_AUTOSEP_CONDITIONAL                       :{BLACK}Невозможно автоматически разделить расписание: присутствуют условные задания
STR_TIMETABLE_WARNING_AUTOSEP_MISSING_TIMINGS                   :{BLACK}Невозможно автоматически разделить расписание: ожидание или отсутствие времени в пути
STR_TIMETABLE_WARNING_FULL_LOAD                                 :{BLACK}Не рекомендуется составлять график выполнения заданий с полной нагрузкой
STR_TIMETABLE_WARNING_AUTOFILL_CONDITIONAL                      :{BLACK}Автозаполнение будет обновлять только принятые ветви условных заданий
STR_TIMETABLE_NON_TIMETABLED_BRANCH                             :{BLACK}Не все поездки по веткам условного порядка расписаны
STR_TIMETABLE_WARNING_NO_SCHEDULED_DISPATCH_ORDER_ASSIGNED      :{BLACK}Расписание отправки не назначено для задания
STR_TIMETABLE_WARNING_SCHEDULED_DISPATCH_ORDER_NO_WAIT_TIME     :{BLACK}Запланированное задание на отправку должено иметь установленное время ожидания
STR_TIMETABLE_WARNING_SCHEDULE_ID                               :{BLACK}Расписание {NUM}: {STRING}
STR_TIMETABLE_FILL_TIMETABLE_SUGGESTION                         :{BLACK}Включить «Автоматически» для автоматического заполнения и обновления времени ожидания и поездок.
STR_TIMETABLE_FILL_TIMETABLE_SUGGESTION_2                       :{BLACK}(Альтернативно, включить «Автозаполнение» или вручную заполнить все поля расписания).

STR_TIMETABLE_WARNINGS_OMITTED                                  :{BLACK}{NUM} дальнейшие предупреждения опущены...

STR_TIMETABLE_ARRIVAL_ABBREVIATION                              :П:
STR_TIMETABLE_DEPARTURE_ABBREVIATION                            :О:

STR_DATE_MINUTES_MINUTE_TOOLTIP                                 :{BLACK}Выбрать минуту
STR_DATE_MINUTES_HOUR_TOOLTIP                                   :{BLACK}Выбрать час

STR_TIME_CAPTION                                                :{WHITE}Установить время

# Cargo type orders Window
STR_CARGO_TYPE_ORDERS_LOAD_CAPTION                              :{WHITE}{VEHICLE} ({NUM}: Загрузка на {STATION})
STR_CARGO_TYPE_ORDERS_UNLOAD_CAPTION                            :{WHITE}{VEHICLE} ({NUM}: Разгрузка на {STATION})
STR_CARGO_TYPE_ORDERS_LOAD_TITLE                                :{GOLD}Выбор порядка загрузки для каждого типа груза:
STR_CARGO_TYPE_ORDERS_UNLOAD_TITLE                              :{GOLD}Выбор порядка выгрузки для каждого типа груза:
STR_CARGO_TYPE_ORDERS_CLOSE_BUTTON                              :{BLACK}Закрыть

STR_CARGO_TYPE_ORDERS_DROP_FULL_LOAD                            :Полная загрузка
STR_CARGO_TYPE_LOAD_ORDERS_DROP_TOOLTIP                         :{BLACK}Изменить поведение при погрузке этого типа груза
STR_CARGO_TYPE_UNLOAD_ORDERS_DROP_TOOLTIP                       :{BLACK}Изменить поведение при разгрузке этого типа груза
STR_CARGO_TYPE_ORDERS_SET_TO_ALL_LABEL                          :{BLACK}Установить всё на:
STR_CARGO_TYPE_ORDERS_SET_TO_ALL_TOOLTIP                        :{BLACK}Установить во всех заказах тип груза, выбранный с помощью выпадающего списка

STR_SCREENSHOT_WORLD_SCREENSHOT_DEFAULT_ZOOM                    :{BLACK}Скриншот всей карты c масштабированием по умолчанию
STR_SCREENSHOT_WORLD_SCREENSHOT_CURRENT_ZOOM                    :{BLACK}Скриншот всей карты c текущим масштабированием

STR_SCREENSHOT_TOPOGRAPHY_SCREENSHOT                            :{BLACK}Скриншот топографии
STR_SCREENSHOT_INDUSTRY_SCREENSHOT                              :{BLACK}Скриншот предприятий

# Plans window
STR_PLANS_CAPTION                                               :{WHITE}Планы
STR_PLANS_NEW_PLAN                                              :{BLACK}Новый
STR_PLANS_NEW_PLAN_TOOLTIP                                      :{BLACK}Создать новый план
STR_PLANS_ADD_LINES                                             :{BLACK}Добавить линии
STR_PLANS_ADDING_LINES                                          :{BLACK}Добавление...
STR_PLANS_ADD_LINES_TOOLTIP                                     :{BLACK}Добавить линии к выбранному плану
STR_PLANS_HIDE_ALL                                              :{BLACK}Скрыть всё
STR_PLANS_HIDE_ALL_TOOLTIP                                      :{BLACK}Отключить видимость всех планов и всех их линий
STR_PLANS_SHOW_ALL                                              :{BLACK}Показать всё
STR_PLANS_SHOW_ALL_TOOLTIP                                      :{BLACK}Включить видимость всех планов и всех их линий
STR_PLANS_VISIBILITY_PRIVATE                                    :{BLACK}Сделать закрытым
STR_PLANS_VISIBILITY_PUBLIC                                     :{BLACK}Сделать публичным
STR_PLANS_VISIBILITY_TOOLTIP                                    :{BLACK}Переключить видимость плана. Публичный план будет отображаться в окне планов других компаний, но только его владелец сможет добавлять в него линии.
STR_PLANS_COLOUR                                                :{BLACK}Цвет
STR_PLANS_COLOUR_TOOLTIP                                        :{BLACK}Установить цвет плана
STR_PLANS_DELETE                                                :{BLACK}Удалить
STR_PLANS_DELETE_TOOLTIP                                        :{BLACK}Удалить выбранный план
STR_PLANS_TAKE_OWNERSHIP                                        :{BLACK}Принять в собственность
STR_PLANS_TAKE_OWNERSHIP_TOOLTIP                                :{BLACK}Принять в собственность выбранный бесхозный план
STR_PLANS_LIST_ITEM_PLAN_PRIVATE                                :[Закрытый]: {STRING}
STR_PLANS_LIST_ITEM_PLAN                                        :План #{NUM}: {NUM} лин{P ия ии ий} ({DATE_SHORT})
STR_PLANS_LIST_ITEM_NAMED_PLAN                                  :{STRING}: {NUM} лин{P ия ии ий} ({DATE_SHORT})
STR_PLANS_LIST_ITEM_LINE                                        : -- Линия #{NUM}: {NUM} сегмент{P "" а ов}
STR_PLANS_LIST_TOOLTIP                                          :{BLACK}Дважды щелкните любой элемент в списке, чтобы (раз)свернуть связанный с ним план.{}Ctrl+клик - прокрутить до.
STR_PLANS_QUERY_RENAME_PLAN                                     :{WHITE}Переименовать план

STR_WARNING_LOADGAME_REMOVED_UNCORRECTABLE_VEHICLES             :{WHITE}Удалено {NUM} транспорт{P "" а ов}, которые были признаны некорректными во время загрузки

STR_GAME_SAVELOAD_FROM_VERSION                                  : из версии {PUSH_COLOUR}{ORANGE}{STRING}{POP_COLOUR}{}
STR_GAME_SAVELOAD_ERROR_TOO_NEW_FEATURE_VERSION                 :Сохранение{0:STRING} имеет версию {PUSH_COLOUR}{ORANGE}{2:NUM}{POP_COLOUR} особенности «{PUSH_COLOUR}{ORANGE}{1:STRING}{POP_COLOUR}», но максимальная поддерживаемая версия - {PUSH_COLOUR}{ORANGE}{3:NUM}{POP_COLOUR}
STR_GAME_SAVELOAD_ERROR_UNKNOWN_FEATURE                         :Сохранение{0:STRING} имеет неизвестную особенность «{PUSH_COLOUR}{ORANGE}{1:STRING}{POP_COLOUR}» (версия: {PUSH_COLOUR}{ORANGE}{2:NUM}{POP_COLOUR}), которая не поддерживается

STR_GAME_SAVELOAD_ERROR_HUGE_AIRPORTS_PRESENT                   :В сохранении используются огромные аэропорты
STR_GAME_SAVELOAD_ERROR_HELI_OILRIG_BUG                         :В сохранении вертолёт приближается к багованой нефтяной вышке

# Clear area query
STR_QUERY_CLEAR_AREA_CAPTION                                    :{WHITE}Очистить территорию
STR_CLEAR_AREA_CONFIRMATION_TEXT                                :{YELLOW}Вы собираетесь уничтожить важную структуру. Вы уверены?

STR_ERROR_BUILDING_NOT_ALLOWED_IN_THIS_TOWN_ZONE                :{WHITE}... не разрешено в этой городской зоне.
STR_ERROR_BUILDING_NOT_ALLOWED_ABOVE_SNOW_LINE                  :{WHITE}... не допускается выше линии снега.
STR_ERROR_BUILDING_NOT_ALLOWED_BELOW_SNOW_LINE                  :{WHITE}... не допускается ниже снеговой линии.
STR_ERROR_TOO_MANY_HOUSE_SETS                                   :{WHITE}... слишком много домов в городе
STR_ERROR_TOO_MANY_HOUSE_TYPES                                  :{WHITE}... слишком много типов домов в городе
STR_ERROR_BUILDING_IS_TOO_OLD                                   :{WHITE}... здание слишком старое.
STR_ERROR_BUILDING_IS_TOO_MODERN                                :{WHITE}... здание слишком новое.
STR_ERROR_ONLY_ONE_BUILDING_ALLOWED_PER_TOWN                    :{WHITE}... в городе разрешено только одно здание такого типа.
STR_ERROR_TOO_MANY_DOCKS                                        :{WHITE}Слишком много доков
STR_ERROR_CAN_T_BUILD_ROAD_WAYPOINT                             :{WHITE}Невозможно построить здесь дорожную маршрутную точку...
STR_ERROR_CAN_T_REMOVE_ROAD_WAYPOINT                            :{WHITE}Невозможно удалить дорожную маршрутную точку здесь...
STR_ERROR_MUST_REMOVE_ROADWAYPOINT_FIRST                        :{WHITE}Сначала необходимо удалить дорожную маршрутную точку
STR_ERROR_UNSUITABLE_SIGNAL_TYPE                                :{WHITE}... неподходящий тип сигнала
STR_ERROR_RESTRICTED_SIGNAL                                     :{WHITE}... сигнал прикреплён программу ограничения маршрутизации
STR_ERROR_SIGNAL_CHANGES                                        :{WHITE}Превышен предел количество программируемых пресигналов

STR_ERROR_BRIDGE_TOO_LOW_FOR_STATION                            :{WHITE}Мост слишком низкий для станции
STR_ERROR_BRIDGE_PILLARS_OBSTRUCT_STATION                       :{WHITE}Опоры моста загораживают станцию
STR_ERROR_CHUNNEL_THROUGH_MAP_BORDER                            :{WHITE}Подводный туннель будет заканчиваться за пределами карты
STR_ERROR_CHUNNEL_RAMP                                          :{WHITE}... Подводные туннели требуют, чтобы зазор между клетками туннеля и берега был между {NUM} и {NUM} клеток.
STR_ERROR_TUNNEL_TOO_MANY                                       :{WHITE}... слишком много туннелей
STR_ERROR_NO_DRILLING_ABOVE_CHUNNEL                             :{WHITE}Над подводными туннелями запрещено устанавливать нефтяные вышки.
STR_ERROR_ANOTHER_TUNNEL_IN_THE_WAY_FOR_CHUNNEL                 :{WHITE}Чтобы пройти под другим туннелем, требуется три клетки.
STR_ERROR_CHUNNEL_ONLY_OVER_SEA                                 :{WHITE}Подводные туннели разрешены только для пересечения моря...
STR_ERROR_PURCHASE_LAND_LIMIT_REACHED                           :{WHITE}... достигнут лимит на покупку земельных участков
STR_ERROR_CANT_PURCHASE_OTHER_COMPANY_DEPOT                     :{WHITE}Депо принадлежит другой компании, и в нём запрещено строить транспортные средства.
STR_ERROR_DEPOT_HAS_WRONG_RAIL_TYPE                             :{WHITE}Депо нельзя использовать для постройки поездов с этим типом рельсов.

STR_ERROR_CANNOT_MODIFY_TRACK_TRAIN_APPROACHING                 :{WHITE}Приближается поезд...

STR_ERROR_NO_ROAD_WAYPOINT                                      :{WHITE}Отсутствует дорожная маршрутная точка

# Plan related errors
STR_ERROR_TOO_MANY_PLANS                                        :{WHITE}... слишком много планов
STR_ERROR_TOO_MANY_NODES                                        :{WHITE}... слишком много узлов в линии плана
STR_ERROR_NO_MORE_SPACE_FOR_LINES                               :{WHITE}Больше нет места для линий
STR_ERROR_CAN_T_RENAME_PLAN                                     :{WHITE}Невозможно переименовать план...

STR_TRADITIONAL_TRAIN_NAME                                      :Поезд №{COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :Автомобиль №{COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :Судно №{COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :Борт №{COMMA}

STR_FORMAT_DATE_MINUTES                                         :{0:STRING}:{1:STRING}

STR_HHMM_WITH_DATE_Y                                            :{TIME_HHMM} / {NUM}
STR_HHMM_WITH_DATE_YM                                           :{TIME_HHMM} / {DATE_SHORT}
STR_HHMM_WITH_DATE_YMD                                          :{TIME_HHMM} / {DATE_LONG}

STR_FORMAT_GROUP_VEHICLE_NAME_LONG                              :{GROUP} - {STRING}

STR_VIEWPORT_SHOW_VEHICLE_ROUTE_STEP                            :{BROWN}{NUM} {STRING}
STR_VIEWPORT_SHOW_VEHICLE_ROUTE_STEP_STATION                    :{BLACK}СТ
STR_VIEWPORT_SHOW_VEHICLE_ROUTE_STEP_VIA_STATION                :{GRAY}СС
STR_VIEWPORT_SHOW_VEHICLE_ROUTE_STEP_WAYPOINT                   :{GRAY}МТ
STR_VIEWPORT_SHOW_VEHICLE_ROUTE_STEP_IMPLICIT                   :{GRAY}АВ
STR_VIEWPORT_SHOW_VEHICLE_ROUTE_STEP_DEPOT                      :{RED}ДП
STR_VIEWPORT_SHOW_VEHICLE_ROUTE_STEP_OVERFLOW                   :{RED}{NUM}x

STR_BLACK_PLUS                                                  :{BLACK}+

STR_DECIMAL1_WITH_SCALE                                         :{DECIMAL1} ({DECIMAL}x)

STR_HIERARCHY_SEPARATOR                                         :{SP}/{SP}

STR_ZONING_TOOLBAR                                              :{WHITE}Панель инструментов зонирования
STR_ZONING_OUTER                                                :{BLACK}Внешние границы клетки:
STR_ZONING_INNER                                                :{BLACK}Внутренние границы клетки:
STR_ZONING_OUTER_INFO                                           :{BLACK}Выберите тип зонирования внешней границы клетки.
STR_ZONING_INNER_INFO                                           :{BLACK}Выберите тип зонирования внутренней границы клетки.

STR_ZONING_NO_ZONING                                            :Ничего
STR_ZONING_AUTHORITY                                            :Администрация
STR_ZONING_CAN_BUILD                                            :Где я не могу строить
STR_ZONING_STA_CATCH                                            :Охват станции
STR_ZONING_STA_CATCH_OPEN                                       :Охват станции станции (окно открыто)
STR_ZONING_BUL_UNSER                                            :Необслуживаемые здания
STR_ZONING_IND_UNSER                                            :Необслуживаемые предприятия
STR_ZONING_TRACERESTRICT                                        :Запрещённые сигналы
STR_ZONING_2x2_GRID                                             :2x2 городская дорожная сеть
STR_ZONING_3x3_GRID                                             :3x3 городская дорожная сеть
STR_ZONING_ONE_WAY_ROAD                                         :Дороги с односторонним движением

STR_STATION_RATING_TOOLTIP_RATING_DETAILS                       :{STRING} Подробности рейтинга
STR_STATION_RATING_TOOLTIP_TOTAL_RATING                         :Общий целевой рейтинг: {LTBLUE}{NUM}%

STR_STATION_RATING_TOOLTIP_USING_CHEAT                          :Чит активен

STR_STATION_RATING_TOOLTIP_NEWGRF_RATING                        :Рейтинг станции NewGRF: {STRING} {BLACK}основан на
STR_STATION_RATING_TOOLTIP_NEWGRF_RATING_0                      :{GOLD}{PLUS_NUM}%
STR_STATION_RATING_TOOLTIP_NEWGRF_RATING_1                      :{LTBLUE}{PLUS_NUM}%
STR_STATION_RATING_TOOLTIP_NEWGRF_SPEED                         :Максимальная скорость последнего транспортного средства: {LTBLUE}{VELOCITY} ({STRING})
STR_STATION_RATING_TOOLTIP_NEWGRF_WAITUNITS                     :Ожидание груза (в среднем на следующую остановку): {LTBLUE}{NUM}
STR_STATION_RATING_TOOLTIP_NEWGRF_WAITTIME                      :Время с момента последнего забора: {LTBLUE}{NUM} д{P ень ня ней}

STR_STATION_RATING_MAX_PERCENTAGE                               : (максимум {PLUS_NUM}%)
STR_STATION_RATING_MAX_PERCENTAGE_COMMA                         :, максимум {PLUS_NUM}%
STR_STATION_RATING_PERCENTAGE_COMMA                             :, {PLUS_NUM}%

STR_STATION_RATING_TOOLTIP_SPEED                                :Максимальная скорость последнего транспорта{STRING}: {COLOUR}{VELOCITY}{STRING} ({STRING})

STR_STATION_RATING_TOOLTIP_AGE                                  :Возраст последнего транспорта{STRING}: {COLOUR}{NUM} {P год года лет}{STRING}

STR_STATION_RATING_TOOLTIP_WAITTIME                             :Время с момента последнего забора{STRING}: {STRING}
STR_STATION_RATING_TOOLTIP_WAITTIME_SHIP                        :Время с момента последнего забора{STRING}: {STRING} (судном)
STR_STATION_RATING_TOOLTIP_WAITTIME_VALUE                       :{COLOUR}{NUM} д{P ень ня ней}{STRING}

STR_STATION_RATING_TOOLTIP_WAITUNITS                            :Ожидание груза (в среднем на одну следующую остановку{STRING}): {COLOUR}{NUM}{STRING}

STR_STATION_RATING_TOOLTIP_STATUE                               :Статуя в городе{STRING}: {STRING}
STR_STATION_RATING_TOOLTIP_STATUE_NO                            :{GOLD}нет{STRING}
STR_STATION_RATING_TOOLTIP_STATUE_YES                           :{GREEN}да{STRING}

STR_STATION_RATING_TOOLTIP_TRAIN                                :Поезд
STR_STATION_RATING_TOOLTIP_ROAD_VEHICLE                         :Автотранспорт
STR_STATION_RATING_TOOLTIP_SHIP                                 :Судно
STR_STATION_RATING_TOOLTIP_AIRCRAFT                             :Авиатранспорт
STR_STATION_RATING_TOOLTIP_INVALID                              :Н/Д

STR_TMPL_RPL_TITLE                                              :{WHITE}Шаблон замены
STR_TMPL_TEMPLATE_REPLACEMENT                                   :Шаблон замены
STR_TMPL_TRAINS_IN_GROUP                                        :{BLACK}Поезда в группе
STR_TMPL_AVAILABLE_TEMPLATES                                    :{BLACK}Доступные шаблоны
STR_TMPL_DEFINE_TEMPLATE                                        :{BLACK}Новый
STR_TMPL_EDIT_TEMPLATE                                          :{BLACK}Редактировать
STR_TMPL_CREATE_CLONE_VEH                                       :{BLACK}Клонировать
STR_TMPL_DELETE_TEMPLATE                                        :{BLACK}Удалить
STR_TMPL_RENAME_TEMPLATE                                        :{BLACK}Переименовать шаблон
STR_TMPL_RPL_ALL_TMPL                                           :{BLACK}Заменить все шаблоны
STR_TMPL_NEW_VEHICLE                                            :{BLACK}Новый транспорт
STR_TMPL_CONFIRM                                                :{BLACK}ОК
STR_TMPL_CANCEL                                                 :{BLACK}Отмена
STR_TMPL_NEW                                                    :{BLACK}Новый шаблон транспорта
STR_TMPL_REFIT                                                  :{BLACK}Переоборудовать
STR_TMPL_GROUP_INFO                                             :{BLACK}Информация о группе: {ORANGE}
STR_TMPL_TEMPLATE_INFO                                          :{BLACK}Информация о шаблоне: {ORANGE}
STR_TMPL_RPL_START                                              :{BLACK}Начать замену
STR_TMPL_RPL_START_TOOLTIP                                      :{BLACK}Нажмите, чтобы начать замену поездов в выбранной группе по выбранному шаблону
STR_TMPL_RPL_STOP                                               :{BLACK}Прекратить замену
STR_TMPL_RPL_STOP_TOOLTIP                                       :{BLACK}Нажмите, чтобы остановить замену поездов в выбранной группе
STR_TMPL_TEMPLATE_OVR_VALUE                                     :{BLACK}Стоимость приобретения: {GOLD}{CURRENCY_LONG}
STR_TMPL_TEMPLATE_OVR_VALUE_LTBLUE                              :{BLACK}Стоимость приобретения: {LTBLUE}{CURRENCY_LONG}
STR_TMPL_TEMPLATE_OVR_RUNNING_COST                              :{BLACK}Предполагаемые расходы на эксплуатацию: {LTBLUE}{CURRENCY_LONG}
STR_TMPL_TEMPLATE_OVR_MULTIPLE                                  :{BLACK}{STRING}{BLACK} {STRING}
STR_TMPL_WARNING_FREE_WAGON                                     :{RED}Свободная цепь: не запускается!
STR_TMPL_WARNING_VEH_UNAVAILABLE                                :{RED}Поезд нельзя строить: транспортное средство недоступно!
STR_TMPL_WARNING_VEH_NO_COMPATIBLE_RAIL_TYPE                    :{RED}Поезд нельзя строить: цепь не совместима ни с одним типом рельсов
STR_TMPL_GROUP_USES_TEMPLATE                                    :{BLACK}Используемый шаблон: {STRING}
STR_TMPL_NAME                                                   :{NUM}: {STRING}
STR_TMP_TEMPLATE_IN_USE                                         :Шаблон уже используется
STR_TMP_TEMPLATE_FROM_PARENT_GROUP                              :Использование шаблона из родительской группы
STR_TMPL_GROUP_NUM_TRAINS                                       :{BLACK}{NUM}
STR_TMPL_CREATEGUI_TITLE                                        :{WHITE}Создать/редактировать шаблон транспортного средства
STR_TMPL_MAINGUI_DEFINEDGROUPS                                  :{BLACK}Определенные группы для компании
STR_TMPL_TMPLRPL_EX_DIFF_RAILTYPE                               :Используется шаблон другого типа рельсов

STR_TMPL_ADD_LOCOMOTIVE                                         :{BLACK}Добавить локомотив
STR_TMPL_ADD_WAGON                                              :{BLACK}Добавить вагон
STR_TMPL_ADD_VEHICLE                                            :{BLACK}Добавить транспортное средство
STR_TMPL_ADD_LOCOMOTIVE_REFIT                                   :{BLACK}Добавить и переоборудовать локомотив
STR_TMPL_ADD_WAGON_REFIT                                        :{BLACK}Добавить и переоборудовать вагон
STR_TMPL_ADD_VEHICLE_REFIT                                      :{BLACK}Добавить и переоборудовать транспортное средство
STR_TMPL_ADD_TOOLTIP                                            :{BLACK}Добавить выделенный транспорт в шаблон.
STR_TMPL_ADD_REFIT_TOOLTIP                                      :{BLACK}Добавить и переоборудовать выделенный транспорт в шаблон.

STR_TMPL_SET_USEDEPOT                                           :{BLACK}Использовать транспортные средства депо
STR_TMPL_SET_USEDEPOT_TIP                                       :{BLACK}Использовать имеющиеся в депо транспортные средства при замене шаблонов, чтобы снизить затраты на покупку.{}Имеющиеся транспортные средства должны быть остановлены в депо. Локомотивы не должны иметь заказов, групп и не должны разделять заказы с другими транспортными средствами.
STR_TMPL_SET_KEEPREMAINDERS                                     :{BLACK}Сохранить остатки
STR_TMPL_SET_KEEPREMAINDERS_TIP                                 :{BLACK}После завершения замены шаблонов оставить все оставшиеся транспортные средства из старого поезда в депо для дальнейшего использования
STR_TMPL_SET_REFIT_AS_TEMPLATE                                  :{BLACK}По шаблону
STR_TMPL_SET_REFIT_AS_TEMPLATE_TIP                              :{BLACK}Поезд будет переоборудован в точном соответствии с шаблоном
STR_TMPL_SET_REFIT_AS_INCOMING                                  :{BLACK}По мере поступления
STR_TMPL_SET_REFIT_AS_INCOMING_TIP                              :{BLACK}Каждая часть нового поезда будет переоборудована под первый груз старого поезда. Стандартное переоборудование, если это невозможно.
STR_TMPL_SET_OLD_ONLY                                           :{BLACK}Только старые
STR_TMPL_SET_OLD_ONLY_TIP                                       :{BLACK}Если установлено, будут заменены только те транспортные средства, которые устарели и подлежат автоматической замене

STR_TMPL_CONFIG_REFIT_AS_TEMPLATE                               :{GREEN}переоборудование: шаблон
STR_TMPL_CONFIG_REFIT_AS_INCOMING                               :{GOLD}переоборудование: поступление
STR_TMPL_CONFIG_USEDEPOT                                        :использовать депо
